adult,genre_ids,id,original_language,original_title,popularity,release_date,title,vote_average,vote_count
False,"[18, 10749]",531428,fr,Portrait de la jeune fille en feu,35.227,2019-09-18,Portrait of a Lady on Fire,8.1,2365
False,[18],81481,ko,도가니,24.82,2011-09-22,Silenced,8.146,565
False,"[18, 35, 10752]",55823,it,La grande guerra,11.241,1959-10-28,The Great War,8.142,328
False,"[18, 10751]",406997,en,Wonder,39.676,2017-11-13,Wonder,8.1,7619
False,"[35, 18]",37165,en,The Truman Show,65.397,1998-06-04,The Truman Show,8.14,17520
False,"[18, 878]",19,de,Metropolis,25.395,1927-02-06,Metropolis,8.138,2561
False,[35],20914,it,Amici miei,11.509,1975-10-24,My Friends,8.137,673
False,"[16, 10770, 14, 28]",755812,fr,"Miraculous World : New York, les héros unis",32.914,2020-09-25,"Miraculous World: New York, United HeroeZ",8.136,1055
False,"[16, 10751, 35, 14]",508442,en,Soul,63.408,2020-12-25,Soul,8.136,9948
False,"[80, 18]",470044,en,The Hate U Give,26.443,2018-10-19,The Hate U Give,8.136,2044
False,"[18, 10752]",600,en,Full Metal Jacket,46.533,1987-06-26,Full Metal Jacket,8.134,10008
False,[18],600354,en,The Father,31.927,2020-12-23,The Father,8.132,2970
False,[18],458220,en,Palmer,33.116,2021-01-28,Palmer,8.13,1432
False,"[80, 53]",500,en,Reservoir Dogs,49.719,1992-09-02,Reservoir Dogs,8.128,13731
False,[18],614,sv,Smultronstället,20.652,1957-12-26,Wild Strawberries,8.126,1531
False,"[28, 12, 14, 53]",518068,ko,신과함께-인과 연,45.199,2018-08-01,Along with the Gods: The Last 49 Days,8.121,576
False,"[16, 14, 18, 10751]",555604,en,Guillermo del Toro's Pinocchio,39.837,2022-10-22,Guillermo del Toro's Pinocchio,8.121,2703
False,"[18, 9648, 53]",411088,es,Contratiempo,48.92,2017-01-06,The Invisible Guest,8.122,4345
False,"[35, 80]",100,en,"Lock, Stock and Two Smoking Barrels",22.01,1998-08-28,"Lock, Stock and Two Smoking Barrels",8.121,6274
False,"[35, 10752]",935,en,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,37.346,1964-01-29,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,8.12,5325
False,"[35, 18]",439,it,La dolce vita,26.708,1960-02-05,La Dolce Vita,8.12,1744
False,"[80, 53]",996,en,Double Indemnity,22.509,1944-07-06,Double Indemnity,8.118,1693
False,[35],38288,it,I corti,4.584,1996-03-29,I corti,8.117,341
False,"[18, 36]",872585,en,Oppenheimer,417.887,2023-07-19,Oppenheimer,8.112,7317
False,[18],20532,ja,山椒大夫,13.272,1954-03-31,Sansho the Bailiff,8.112,345
False,"[16, 28, 14]",663558,zh,新神榜：哪吒重生,30.303,2021-02-06,New Gods: Nezha Reborn,8.111,393
False,"[18, 10749]",843,cn,花樣年華,34.077,2000-09-29,In the Mood for Love,8.111,2504
False,"[28, 53, 878]",280,en,Terminator 2: Judgment Day,65.052,1991-07-03,Terminator 2: Judgment Day,8.111,12244
False,"[16, 28, 14]",664767,en,Mortal Kombat Legends: Scorpion's Revenge,67.153,2020-04-12,Mortal Kombat Legends: Scorpion's Revenge,8.108,1337
False,"[10751, 14]",640344,it,Me contro Te: Il film - La vendetta del Signor S,9.325,2020-01-17,Me Against You: Mr. S's Vendetta,8.107,463
False,"[16, 12, 35, 14]",532067,ja,映画 この素晴らしい世界に祝福を！紅伝説,39.117,2019-08-30,KONOSUBA – God's blessing on this wonderful world! Legend of Crimson,8.107,507
False,"[35, 10749, 80]",239,en,Some Like It Hot,34.937,1959-03-19,Some Like It Hot,8.105,3285
False,[18],705,en,All About Eve,19.814,1950-11-09,All About Eve,8.103,1441
False,"[80, 28, 18, 53]",9702,en,Bound by Honor,42.682,1993-02-05,Bound by Honor,8.1,1206
False,[18],655,en,"Paris, Texas",35.831,1984-07-16,"Paris, Texas",8.1,1669
False,"[878, 18, 10749]",38,en,Eternal Sunshine of the Spotless Mind,77.647,2004-03-19,Eternal Sunshine of the Spotless Mind,8.1,14244
False,[18],103663,da,Jagten,30.662,2012-10-25,The Hunt,8.099,3921
False,"[18, 53]",11878,ja,用心棒,27.735,1961-04-25,Yojimbo,8.099,1338
False,"[14, 12]",12445,en,Harry Potter and the Deathly Hallows: Part 2,104.068,2011-07-12,Harry Potter and the Deathly Hallows: Part 2,8.098,19810
False,"[80, 18, 9648]",548,ja,羅生門,23.991,1950-08-26,Rashomon,8.097,2052
False,"[18, 10752, 9648]",46738,fr,Incendies,34.839,2010-09-17,Incendies,8.094,2482
False,"[18, 53, 80]",146233,en,Prisoners,55.706,2013-09-19,Prisoners,8.093,11189
False,[18],406,fr,La Haine,27.911,1995-05-31,La Haine,8.093,3804
False,"[18, 10749]",2457,fr,Les Enfants du Paradis,10.78,1945-03-15,Children of Paradise,8.091,380
False,"[35, 18]",823754,en,Bo Burnham: Inside,16.006,2021-07-22,Bo Burnham: Inside,8.09,435
False,"[18, 53, 80]",832,de,M - Eine Stadt sucht einen Mörder,21.698,1931-05-11,M,8.09,2033
False,"[28, 12, 18, 14, 53, 9648]",397567,ko,신과함께-죄와 벌,55.54,2017-12-20,Along with the Gods: The Two Worlds,8.088,937
False,"[35, 80]",24382,it,I soliti ignoti,10.47,1958-07-26,Big Deal on Madonna Street,8.1,671
False,"[16, 10751, 878]",10681,en,WALL·E,73.584,2008-06-22,WALL·E,8.087,18031
False,"[18, 10752, 36]",472454,tr,Ayla,23.555,2017-10-27,Ayla: The Daughter of War,8.086,344
False,"[18, 36, 10752]",387,de,Das Boot,38.011,1981-09-17,Das Boot,8.086,2083
False,"[35, 10402]",400608,en,Bo Burnham: Make Happy,10.514,2016-06-03,Bo Burnham: Make Happy,8.084,358
False,"[18, 10749]",4348,en,Pride & Prejudice,62.735,2005-09-16,Pride & Prejudice,8.082,7688
False,[18],3780,ja,赤ひげ,25.81,1965-04-03,Red Beard,8.081,321
False,"[28, 35, 9648]",992,en,Sherlock Jr.,16.859,1924-04-17,Sherlock Jr.,8.081,912
False,[18],7345,en,There Will Be Blood,44.833,2007-12-26,There Will Be Blood,8.08,6262
False,"[80, 18]",359940,en,"Three Billboards Outside Ebbing, Missouri",35.879,2017-12-01,"Three Billboards Outside Ebbing, Missouri",8.076,9706
False,"[16, 18, 14]",149871,ja,かぐや姫の物語,37.289,2013-11-23,The Tale of The Princess Kaguya,8.076,1661
False,"[28, 18, 36]",11645,ja,乱,30.028,1985-06-01,Ran,8.076,1440
False,[18],334543,en,Lion,30.496,2016-11-24,Lion,8.1,6349
False,"[878, 9648, 12]",62,en,2001: A Space Odyssey,52.409,1968-04-02,2001: A Space Odyssey,8.075,10975
False,"[14, 16, 10751]",8392,ja,となりのトトロ,69.258,1988-04-16,My Neighbor Totoro,8.074,7534
False,"[18, 10770]",550776,en,Believe Me: The Abduction of Lisa McVey,26.841,2018-09-30,Believe Me: The Abduction of Lisa McVey,8.073,588
False,"[18, 36]",906126,es,La sociedad de la nieve,123.36,2023-12-15,Society of the Snow,8.068,2313
False,"[16, 10751]",831827,en,Far from the Tree,15.506,2021-11-24,Far from the Tree,8.1,354
False,"[28, 18, 36]",437068,ko,택시운전사,25.58,2017-08-02,A Taxi Driver,8.067,902
False,"[80, 18, 53]",11423,ko,살인의 추억,41.711,2003-05-02,Memories of Murder,8.064,3536
False,"[18, 36, 10770]",21634,en,Prayers for Bobby,20.157,2009-01-24,Prayers for Bobby,8.062,552
False,[18],1000492,fr,Je verrai toujours vos visages,13.655,2023-03-29,All Your Faces,8.06,445
False,"[16, 14, 12, 28, 10751]",638507,en,How to Train Your Dragon: Homecoming,35.344,2019-10-25,How to Train Your Dragon: Homecoming,8.06,893
False,"[18, 36, 10749]",11659,it,La meglio gioventù,15.269,2003-06-22,The Best of Youth,8.059,497
False,"[27, 9648, 878]",1091,en,The Thing,49.448,1982-06-25,The Thing,8.058,6561
False,"[18, 36]",381284,en,Hidden Figures,63.267,2016-12-10,Hidden Figures,8.056,9239
False,"[18, 10749, 80]",8422,it,Rocco e i suoi fratelli,14.06,1960-10-07,Rocco and His Brothers,8.055,541
False,[35],610461,es,"Veinteañera, divorciada y fantástica",6.956,2020-02-14,"Veinteañera, divorciada y fantástica",8.1,382
False,"[35, 18]",120467,en,The Grand Budapest Hotel,42.003,2014-02-26,The Grand Budapest Hotel,8.051,14242
